case;language;type;file;cosine_similarity;bleu_score;rouge_1;rouge_2;rouge_3;rouge_4;rouge_l_score
medicine_3;english;delete;Case_3_Medicine_English_delete_3.csv;0.9748886239129987;0.8270785693693142;0.9178082191780821;0.8865979381443299;0.8551724137931034;0.8235294117647058;0.9178082191780821
medicine_3;english;delete;Case_3_Medicine_English_delete_2.csv;0.9827679602513563;0.8724455913781148;0.9360269360269361;0.9155405405405405;0.8949152542372882;0.8741496598639455;0.9360269360269361
medicine_3;english;delete;Case_3_Medicine_English_delete_1.csv;0.9878102197022175;0.9327394540500493;0.9706840390879479;0.954248366013072;0.9377049180327869;0.9243421052631579;0.9706840390879479
medicine_3;english;modify;Case_3_Medicine_English_summary_mod_2.csv;0.9670649112205361;0.9085749688164381;0.9430379746835443;0.8984126984126984;0.8694267515923567;0.8466453674121406;0.930379746835443
medicine_3;english;modify;Case_3_Medicine_English_summary_mod_3.csv;0.9579312093217116;0.85820342278571;0.924031007751938;0.8740279937791602;0.842433697347894;0.8169014084507041;0.9085271317829458
medicine_3;english;modify;Case_3_Medicine_English_summary_mod_1.csv;0.9789657318451773;0.9364741960972595;0.9537480063795855;0.9343999999999999;0.9181380417335474;0.9017713365539453;0.9505582137161085
medicine_3;english;synonyms;Case_3_Medicine_English_summary_synonyms_3.csv;0.9931126038189346;0.8700445989269212;0.9426751592356688;0.8722044728434506;0.8205128205128205;0.7717041800643087;0.9299363057324842
medicine_3;english;synonyms;Case_3_Medicine_English_summary_synonyms_2.csv;0.994521175276446;0.9146601244960195;0.9587301587301587;0.9171974522292994;0.8817891373801917;0.8493589743589745;0.9523809523809524
medicine_3;english;synonyms;Case_3_Medicine_English_summary_synonyms_1.csv;0.9948665805688814;0.956668241442065;0.9778481012658228;0.9619047619047619;0.945859872611465;0.9297124600638977;0.9778481012658228
medicine_4;english;delete;Case_4_Medicine_English_summary_delete_1.csv;0.9888848281253358;0.943488428118123;0.9761006289308175;0.9634300126103404;0.9506953223767384;0.9378960709759189;0.9761006289308175
medicine_4;english;delete;Case_4_Medicine_English_summary_delete_3.csv;0.9828882811833533;0.8417834015256505;0.9263157894736843;0.8944591029023747;0.8650793650793651;0.8355437665782495;0.9263157894736843
medicine_4;english;delete;Case_4_Medicine_English_summary_delete_2.csv;0.9848875607394756;0.9109032593433929;0.9630573248407643;0.9399744572158364;0.9193341869398207;0.8985879332477534;0.9630573248407643
medicine_4;english;modify;Case_4_Medicine_English_summary_mod_1.csv;0.983535129510905;0.947721963151811;0.9671132764920829;0.9548229548229549;0.9424724602203182;0.9300613496932516;0.9671132764920829
medicine_4;english;modify;Case_4_Medicine_English_summary_mod_3.csv;0.9329027859433419;0.7819230176120148;0.859857482185273;0.7952380952380952;0.7541766109785203;0.7248803827751196;0.840855106888361
